Time [min],Power [kW],Cumulative Energy [kWh],Normalized Load
1321,30.0,43.416666666665265,0.18181818181818182
1322,30.0,42.916666666665265,0.18181818181818182
1323,30.0,42.416666666665265,0.18181818181818182
1324,30.0,41.916666666665265,0.18181818181818182
1325,30.0,41.416666666665265,0.18181818181818182
1326,30.0,40.916666666665265,0.18181818181818182
1327,30.0,40.416666666665265,0.18181818181818182
1328,30.0,39.916666666665265,0.18181818181818182
1329,30.0,39.416666666665265,0.18181818181818182
1330,30.0,38.916666666665265,0.18181818181818182
1331,30.0,38.416666666665265,0.18181818181818182
1332,30.0,37.916666666665265,0.18181818181818182
1333,30.0,37.416666666665265,0.18181818181818182
1334,30.0,36.916666666665265,0.18181818181818182
1335,30.0,36.416666666665265,0.18181818181818182
1336,30.0,35.916666666665265,0.18181818181818182
1337,30.0,35.416666666665265,0.18181818181818182
1338,30.0,34.916666666665265,0.18181818181818182
1339,30.0,34.416666666665265,0.18181818181818182
1340,30.0,33.916666666665265,0.18181818181818182
1341,30.0,33.416666666665265,0.18181818181818182
1342,30.0,32.916666666665265,0.18181818181818182
1343,30.0,32.416666666665265,0.18181818181818182
1344,30.0,31.916666666665265,0.18181818181818182
1345,30.0,31.416666666665265,0.18181818181818182
1346,30.0,30.916666666665265,0.18181818181818182
1347,30.0,30.416666666665265,0.18181818181818182
1348,30.0,29.916666666665265,0.18181818181818182
1349,30.0,29.416666666665265,0.18181818181818182
1350,30.0,28.916666666665265,0.18181818181818182
1351,30.0,28.416666666665265,0.18181818181818182
1352,30.0,27.916666666665265,0.18181818181818182
1353,30.0,27.416666666665265,0.18181818181818182
1354,30.0,26.916666666665265,0.18181818181818182
1355,30.0,26.416666666665265,0.18181818181818182
1356,30.0,25.916666666665265,0.18181818181818182
1357,30.0,25.416666666665265,0.18181818181818182
1358,30.0,24.916666666665265,0.18181818181818182
1359,30.0,24.416666666665265,0.18181818181818182
1360,30.0,23.916666666665265,0.18181818181818182
1361,30.0,23.416666666665265,0.18181818181818182
1362,30.0,22.916666666665265,0.18181818181818182
1363,30.0,22.416666666665265,0.18181818181818182
1364,30.0,21.916666666665265,0.18181818181818182
1365,30.0,21.416666666665265,0.18181818181818182
1366,30.0,20.916666666665265,0.18181818181818182
1367,30.0,20.416666666665265,0.18181818181818182
1368,30.0,19.916666666665265,0.18181818181818182
1369,30.0,19.416666666665265,0.18181818181818182
1370,30.0,18.916666666665265,0.18181818181818182
1371,30.0,18.416666666665265,0.18181818181818182
1372,30.0,17.916666666665265,0.18181818181818182
1373,30.0,17.416666666665265,0.18181818181818182
1374,30.0,16.916666666665265,0.18181818181818182
1375,30.0,16.416666666665265,0.18181818181818182
1376,30.0,15.916666666665265,0.18181818181818182
1377,30.0,15.416666666665265,0.18181818181818182
1378,30.0,14.916666666665265,0.18181818181818182
1379,30.0,14.416666666665265,0.18181818181818182
1380,30.0,13.916666666665265,0.18181818181818182
1381,30.0,13.416666666665265,0.18181818181818182
1382,30.0,12.916666666665265,0.18181818181818182
1383,30.0,12.416666666665265,0.18181818181818182
1384,30.0,11.916666666665265,0.18181818181818182
1385,30.0,11.416666666665265,0.18181818181818182
1386,30.0,10.916666666665265,0.18181818181818182
1387,30.0,10.416666666665265,0.18181818181818182
1388,30.0,9.916666666665265,0.18181818181818182
1389,30.0,9.416666666665265,0.18181818181818182
1390,30.0,8.916666666665265,0.18181818181818182
1391,30.0,8.416666666665265,0.18181818181818182
1392,30.0,7.9166666666652645,0.18181818181818182
1393,30.0,7.4166666666652645,0.18181818181818182
1394,30.0,6.9166666666652645,0.18181818181818182
